Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Matt Niskanen (15246868),Matt Niskanen,15246868,D/UTIL,4200,NYI@PHI 09/01/2020 07:00PM ET,PHI,7.16
LW,Scott Laughton (15246756),Scott Laughton,15246756,W/UTIL,4100,NYI@PHI 09/01/2020 07:00PM ET,PHI,6.69
D,Adam Pelech (15246870),Adam Pelech,15246870,D/UTIL,4100,NYI@PHI 09/01/2020 07:00PM ET,NYI,7.17
C,Paul Stastny (15246680),Paul Stastny,15246680,C/UTIL,4100,VAN@VGK 09/01/2020 09:45PM ET,VGK,7.22
D,Travis Sanheim (15246872),Travis Sanheim,15246872,D/UTIL,4000,NYI@PHI 09/01/2020 07:00PM ET,PHI,6.80
LW,James van Riemsdyk (15246758),James van Riemsdyk,15246758,W/UTIL,3900,NYI@PHI 09/01/2020 07:00PM ET,PHI,7.58
D,Christopher Tanev (15246874),Christopher Tanev,15246874,D/UTIL,3900,VAN@VGK 09/01/2020 09:45PM ET,VAN,7.38
D,Andy Greene (15246876),Andy Greene,15246876,D/UTIL,3800,NYI@PHI 09/01/2020 07:00PM ET,NYI,6.94
LW,Joel Farabee (15246760),Joel Farabee,15246760,W/UTIL,3700,NYI@PHI 09/01/2020 07:00PM ET,PHI,5.77
D,Tyler Myers (15246878),Tyler Myers,15246878,D/UTIL,3700,VAN@VGK 09/01/2020 09:45PM ET,VAN,7.32
D,Nick Leddy (15246880),Nick Leddy,15246880,D/UTIL,3600,NYI@PHI 09/01/2020 07:00PM ET,NYI,6.05
D,Shayne Gostisbehere (15246882),Shayne Gostisbehere,15246882,D/UTIL,3500,NYI@PHI 09/01/2020 07:00PM ET,PHI,6.03
RW,Jake Virtanen (15246762),Jake Virtanen,15246762,W/UTIL,3500,VAN@VGK 09/01/2020 09:45PM ET,VAN,6.87
RW,Oskar Lindblom (15246764),Oskar Lindblom,15246764,W/UTIL,3400,NYI@PHI 09/01/2020 07:00PM ET,PHI,8.98
D,Philippe Myers (15246884),Philippe Myers,15246884,D/UTIL,3400,NYI@PHI 09/01/2020 07:00PM ET,PHI,5.81
C,Derek Grant (15246682),Derek Grant,15246682,C/UTIL,3300,NYI@PHI 09/01/2020 07:00PM ET,PHI,6.20
D,Scott Mayfield (15246886),Scott Mayfield,15246886,D/UTIL,3300,NYI@PHI 09/01/2020 07:00PM ET,NYI,6.66
RW,Brandon Sutter (15246766),Brandon Sutter,15246766,W/UTIL,3300,VAN@VGK 09/01/2020 09:45PM ET,VAN,5.74
D,Johnny Boychuk (15246888),Johnny Boychuk,15246888,D/UTIL,3200,NYI@PHI 09/01/2020 07:00PM ET,NYI,6.77
LW,Nick Cousins (15246768),Nick Cousins,15246768,W/UTIL,3200,VAN@VGK 09/01/2020 09:45PM ET,VGK,5.74
LW,Derick Brassard (15246770),Derick Brassard,15246770,W/UTIL,3100,NYI@PHI 09/01/2020 07:00PM ET,NYI,6.08
D,Justin Braun (15246890),Justin Braun,15246890,D/UTIL,3100,NYI@PHI 09/01/2020 07:00PM ET,PHI,5.75
C,Adam Gaudette (15246684),Adam Gaudette,15246684,C/UTIL,3000,VAN@VGK 09/01/2020 09:45PM ET,VAN,5.44
LW,Tyler Motte (15246772),Tyler Motte,15246772,W/UTIL,3000,VAN@VGK 09/01/2020 09:45PM ET,VAN,5.73
D,Troy Stecher (15246892),Troy Stecher,15246892,D/UTIL,3000,VAN@VGK 09/01/2020 09:45PM ET,VAN,5.05
D,Brayden McNabb (15246894),Brayden McNabb,15246894,D/UTIL,2900,VAN@VGK 09/01/2020 09:45PM ET,VGK,5.77
C,Casey Cizikas (15246686),Casey Cizikas,15246686,C/UTIL,2800,NYI@PHI 09/01/2020 07:00PM ET,NYI,5.01
RW,Nicolas Aube-Kubel (15246774),Nicolas Aube-Kubel,15246774,W/UTIL,2800,NYI@PHI 09/01/2020 07:00PM ET,PHI,5.15
D,Nick Holden (15246896),Nick Holden,15246896,D/UTIL,2800,VAN@VGK 09/01/2020 09:45PM ET,VGK,5.66
LW,Michael Raffl (15246776),Michael Raffl,15246776,W/UTIL,2700,NYI@PHI 09/01/2020 07:00PM ET,PHI,4.94
D,Robert Hagg (15246898),Robert Hagg,15246898,D/UTIL,2700,NYI@PHI 09/01/2020 07:00PM ET,PHI,5.60
C,Nicolas Roy (15246688),Nicolas Roy,15246688,C/UTIL,2700,VAN@VGK 09/01/2020 09:45PM ET,VGK,5.08
