Player,Position,Team,FP,Cost,Rank,Over,Position,Yds,TD,Ints,Att,Yds,TDs,Rec,Yds,TDs,FP,Cost,Value
"Nelson Agholor (WR, LV)",WR,LV),11.45,"$4,700 ",#10,#103,#40,0,0,0,0,0,0,3.93,53.74,0.36,11.45,"$4,700 ",2.44
"Sterling Shepard (WR, NYG)",WR,NYG,11.28,"$5,200 ",#20,#104,#41,0,0,0,0.22,1.11,0.01,4.62,46.91,0.3,11.28,"$5,200 ",2.17
"CeeDee Lamb (WR, DAL)",WR,DAL,11.26,"$4,800 ",#24,#105,#42,0,0,0,0.3,1.52,0.01,4.28,48.72,0.32,11.26,"$4,800 ",2.35
"Kareem Hunt (RB, CLE)",RB,CLE,11.18,"$5,000 ",#2,#106,#27,0,0,0,9.42,42.56,0.24,2.56,21.61,0.13,11.18,"$5,000 ",2.24
"Chase Claypool (WR, PIT)",WR,PIT,11.11,"$6,500 ",#22,#107,#43,0,0,0,0.22,1.23,0.01,3.89,53.73,0.28,11.11,"$6,500 ",1.71
"D'Andre Swift (RB, DET)",RB,DET,11.12,"$6,500 ",#17,#108,#28,0,0,0,8.95,40.81,0.35,2.31,19.49,0.12,11.12,"$6,500 ",1.71
"Jerry Jeudy (WR, DEN)",WR,DEN,11.09,"$4,700 ",#21,#109,#44,0,0,0,0,0,0,4.16,53.32,0.27,11.09,"$4,700 ",2.36
"Danny Amendola (WR, DET)",WR,DET,10.83,"$4,000 ",#17,#110,#45,0,0,0,0,0,0,4.12,52.8,0.24,10.83,"$4,000 ",2.71
"Marquise Brown (WR, BAL)",WR,BAL,10.76,"$5,400 ",#25,#111,#46,0,0,0,0.01,0.05,0,3.82,48.92,0.34,10.76,"$5,400 ",1.99
"Breshad Perriman (WR, NYJ)",WR,NYJ,10.7,"$3,900 ",#23,#112,#47,0,0,0,0,0,0,3.86,53.25,0.25,10.7,"$3,900 ",2.74
"Gabriel Davis (WR, BUF)",WR,BUF,10.68,"$4,300 ",#3,#113,#48,0,0,0,0,0,0,3.69,50.77,0.32,10.68,"$4,300 ",2.48
"Michael Pittman Jr. (WR, IND)",WR,IND,10.66,"$5,000 ",#31,#114,#49,0,0,0,0,0,0,3.8,49.38,0.32,10.66,"$5,000 ",2.13
"Mike Williams (WR, LAC)",WR,LAC,10.63,"$4,700 ",#16,#115,#50,0,0,0,0.09,0.48,0,3.23,55.4,0.3,10.63,"$4,700 ",2.26
"Damiere Byrd (WR, NE)",WR,NE),10.65,"$3,600 ",#1,#116,#51,0,0,0,0,0,0,4.4,48.97,0.23,10.65,"$3,600 ",2.96
"Allen Lazard (WR, GB)",WR,GB),10.09,"$5,000 ",#32,#117,#52,0,0,0,0.08,0.43,0,3.49,47.01,0.31,10.09,"$5,000 ",2.02
"Rob Gronkowski (TE, TB)",TE,TB),10.08,"$4,800 ",#15,#118,#6,0,0,0,0,0,0,3.33,41.78,0.43,10.08,"$4,800 ",2.1
"Cam Akers (RB, LA)",RB,LA),10.08,"$5,100 ",#12,#119,#29,0,0,0,13.59,60.5,0.49,0.57,4.34,0.02,10.08,"$5,100 ",1.98
"Noah Fant (TE, DEN)",TE,DEN,9.94,"$4,100 ",#21,#120,#7,0,0,0,0,0,0,3.84,45.35,0.26,9.94,"$4,100 ",2.42
"Michael Gallup (WR, DAL)",WR,DAL,9.88,"$3,800 ",#24,#121,#53,0,0,0,0,0,0,3.49,47.57,0.27,9.88,"$3,800 ",2.6
"Jamaal Williams (RB, GB)",RB,GB),9.83,"$6,000 ",#32,#122,#30,0,0,0,9.3,37.61,0.28,2,15.85,0.13,9.83,"$6,000 ",1.64
"Christian Kirk (WR, ARI)",WR,ARI,9.79,"$4,700 ",#13,#123,#54,0,0,0,0,0,0,3.64,44.71,0.28,9.79,"$4,700 ",2.08
"Russell Gage (WR, ATL)",WR,ATL,9.77,"$4,500 ",#14,#124,#55,0,0,0,0,0,0,3.98,42.89,0.25,9.77,"$4,500 ",2.17
"Dallas Goedert (TE, PHI)",TE,PHI,9.78,"$4,000 ",#5,#124,#8,0,0,0,0,0,0,4.05,43.63,0.23,9.78,"$4,000 ",2.45
"Leonard Fournette (RB, TB)",RB,TB),9.73,"$4,500 ",#15,#126,#31,0,0,0,7.57,30.45,0.28,2.66,16.21,0.12,9.73,"$4,500 ",2.16
"Eric Ebron (TE, PIT)",TE,PIT,9.75,"$4,600 ",#22,#127,#9,0,0,0,0,0,0,3.68,42.79,0.3,9.75,"$4,600 ",2.12
"Chase Edmonds (RB, ARI)",RB,ARI,9.77,"$4,600 ",#13,#127,#32,0,0,0,5.8,24.14,0.17,3.1,24.87,0.13,9.77,"$4,600 ",2.12
"J.K. Dobbins (RB, BAL)",RB,BAL,9.59,"$5,800 ",#25,#129,#33,0,0,0,10.24,43.6,0.3,1.72,12.43,0.08,9.59,"$5,800 ",1.65
"Hunter Renfrow (WR, LV)",WR,LV),9.52,"$4,000 ",#10,#130,#56,0,0,0,0,0,0,3.35,44.99,0.28,9.52,"$4,000 ",2.38
"Mike Gesicki (TE, MIA)",TE,MIA,9.49,"$4,500 ",#19,#131,#10,0,0,0,0,0,0,3.66,41.59,0.28,9.49,"$4,500 ",2.11
"Hunter Henry (TE, LAC)",TE,LAC,9.43,"$4,400 ",#16,#132,#11,0,0,0,0,0,0,3.56,38.31,0.34,9.43,"$4,400 ",2.14
"Hayden Hurst (TE, ATL)",TE,ATL,9.37,"$3,700 ",#14,#133,#12,0,0,0,0,0,0,3.61,40.08,0.29,9.37,"$3,700 ",2.53
"Zach Ertz (TE, PHI)",TE,PHI,9.34,"$3,700 ",#5,#134,#13,0,0,0,0,0,0,4.14,40.71,0.19,9.34,"$3,700 ",2.52
"Logan Thomas (TE, WSH)",TE,WSH,9.16,"$3,300 ",#11,#135,#14,0,0,0,0.68,3.38,0.03,3.74,32.73,0.27,9.16,"$3,300 ",2.78
"Anthony Miller (WR, CHI)",WR,CHI,9.2,"$3,900 ",#29,#135,#57,0,0,0,0.26,1.25,0.01,3.5,40.43,0.25,9.2,"$3,900 ",2.36
"Tim Patrick (WR, DEN)",WR,DEN,9.16,"$4,200 ",#21,#137,#58,0,0,0,0,0,0,3.43,44.77,0.21,9.16,"$4,200 ",2.18
"Phillip Lindsay (RB, DEN)",RB,DEN,9.11,"$4,300 ",#21,#138,#34,0,0,0,10.4,48.75,0.3,1.3,8.13,0.05,9.11,"$4,300 ",2.12
"Peyton Barber (RB, WSH)",RB,WSH,9.13,"$4,400 ",#11,#139,#35,0,0,0,14.03,51.39,0.39,0.89,5.4,0.04,9.13,"$4,400 ",2.08
"Robert Tonyan (TE, GB)",TE,GB),9.03,"$4,200 ",#32,#140,#15,0,0,0,0,0,0,3.25,36.71,0.35,9.03,"$4,200 ",2.15
"Rashard Higgins (WR, CLE)",WR,CLE,9.01,"$4,300 ",#2,#141,#59,0,0,0,0,0,0,3.31,42.84,0.24,9.01,"$4,300 ",2.1
"Sammy Watkins (WR, KC)",WR,KC),8.99,"$4,900 ",#7,#142,#60,0,0,0,0.01,0.04,0,3.09,38.67,0.34,8.99,"$4,900 ",1.83
"Darnell Mooney (WR, CHI)",WR,CHI,8.97,"$3,500 ",#29,#143,#61,0,0,0,0,0,0,3.49,40.51,0.24,8.97,"$3,500 ",2.56
"Larry Fitzgerald (WR, ARI)",WR,ARI,8.89,"$3,500 ",#13,#144,#62,0,0,0,0,0,0,3.67,37.67,0.24,8.89,"$3,500 ",2.54
"Devontae Booker (RB, LV)",RB,LV),8.96,"$5,300 ",#10,#145,#36,0,0,0,8.52,34.5,0.27,1.92,15.38,0.09,8.96,"$5,300 ",1.69
"Austin Hooper (TE, CLE)",TE,CLE,8.68,"$3,400 ",#2,#146,#16,0,0,0,0,0,0,3.55,36.05,0.25,8.68,"$3,400 ",2.55
"Jordan Reed (TE, SF)",TE,SF),8.68,"$3,500 ",#6,#147,#17,0,0,0,0,0,0,3.59,35.53,0.26,8.68,"$3,500 ",2.48
"Devin Singletary (RB, BUF)",RB,BUF,8.66,"$4,300 ",#3,#148,#37,0,0,0,7.87,33.33,0.21,2.09,14.56,0.1,8.66,"$4,300 ",2.01
"Damien Harris (RB, NE)",RB,NE),8.62,"$5,300 ",#1,#149,#38,0,0,0,12.38,55.7,0.36,0.47,3.43,0.02,8.62,"$5,300 ",1.63
"Frank Gore (RB, NYJ)",RB,NYJ,8.49,"$4,000 ",#23,#150,#39,0,0,0,13.41,52.9,0.25,0.87,6.42,0.03,8.49,"$4,000 ",2.12
"Zack Moss (RB, BUF)",RB,BUF,8.45,"$5,000 ",#3,#151,#40,0,0,0,9.47,38.14,0.3,1.42,9.95,0.07,8.45,"$5,000 ",1.69
"Josh Reynolds (WR, LA)",WR,LA),8.46,"$3,800 ",#12,#151,#63,0,0,0,0,0,0,3.04,41.74,0.21,8.46,"$3,800 ",2.23
"Jonnu Smith (TE, TEN)",TE,TEN,8.43,"$3,900 ",#26,#153,#18,0,0,0,0,0,0,3.07,34.43,0.32,8.43,"$3,900 ",2.16
"Dalton Schultz (TE, DAL)",TE,DAL,8.37,"$3,500 ",#24,#154,#19,0,0,0,0,0,0,3.43,33.22,0.27,8.37,"$3,500 ",2.39
